Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
39,Jordan Bell\belljo01,C,26,WAS,3,1,16.7,1.7,5.0,.333,0.0,0.7,.000,1.7,4.3,.385,.333,0.0,0.0,,1.7,3.7,5.3,1.7,0.3,1.0,1.0,1.3,3.3
40,DeAndre' Bembry\bembrde01,SF,26,TOR,29,7,17.4,2.0,3.6,.558,0.3,0.9,.346,1.7,2.7,.628,.601,0.5,0.8,.682,0.4,1.8,2.2,2.0,0.7,0.3,1.1,1.7,4.8
41,Dāvis Bertāns\bertada01,PF,28,WAS,32,3,25.4,3.3,8.5,.388,2.9,7.5,.382,0.4,1.0,.438,.557,1.8,2.1,.853,0.4,2.6,3.0,0.9,0.6,0.2,0.6,2.5,11.3
42,Patrick Beverley\beverpa01,PG,32,LAC,29,29,23.8,2.8,6.2,.442,1.7,4.1,.420,1.0,2.1,.484,.580,1.1,1.3,.795,0.9,2.8,3.7,2.1,0.9,0.8,0.9,3.1,8.3
43,Saddiq Bey\beysa01,SF,21,DET,36,19,23.2,3.2,8.0,.403,2.2,5.6,.388,1.1,2.4,.437,.538,1.5,1.7,.855,0.5,3.4,3.9,1.1,0.6,0.1,0.6,1.5,10.1
44,Tyler Bey\beyty01,SF,22,DAL,5,0,2.8,0.4,1.0,.400,0.0,0.0,,0.4,1.0,.400,.400,0.4,0.8,.500,0.4,0.4,0.8,0.0,0.0,0.2,0.0,0.4,1.2
45,Khem Birch\birchkh01,C,28,ORL,37,1,20.2,2.1,4.4,.475,0.1,0.4,.250,2.0,3.9,.500,.488,1.4,1.9,.739,2.6,2.9,5.5,1.0,0.6,0.7,0.6,1.5,5.6
46,Goga Bitadze\bitadgo01,C,21,IND,18,0,8.9,1.4,2.9,.481,0.2,1.0,.167,1.2,1.9,.647,.510,0.7,0.8,.800,0.8,1.2,1.9,0.3,0.2,0.8,0.4,1.5,3.6
47,Bismack Biyombo\biyombi01,C,28,CHO,35,19,22.0,2.3,4.1,.552,0.0,0.0,.000,2.3,4.1,.556,.552,0.9,1.8,.484,2.1,3.3,5.5,1.4,0.3,1.1,1.0,2.4,5.4
48,Nemanja Bjelica\bjeline01,PF,32,SAC,21,1,17.7,2.9,6.1,.477,0.7,2.2,.326,2.2,3.9,.561,.535,1.5,1.9,.800,1.0,3.0,4.0,2.1,0.3,0.1,1.1,2.0,8.0
49,Eric Bledsoe\bledser01,SG,31,NOP,37,36,29.2,4.3,10.1,.424,1.9,4.9,.377,2.4,5.2,.469,.516,1.5,2.2,.679,0.4,3.0,3.4,3.8,0.8,0.3,1.6,1.5,11.9
50,Keljin Blevins\blevike01,SF,25,POR,9,0,5.2,0.2,1.2,.182,0.0,0.4,.000,0.2,0.8,.286,.182,0.0,0.0,,0.0,0.2,0.2,0.4,0.2,0.0,0.3,0.4,0.4
51,Bogdan Bogdanović\bogdabo01,SG,28,ATL,13,2,22.1,2.8,8.4,.339,1.8,5.9,.299,1.1,2.5,.438,.445,0.9,1.0,.923,0.3,3.2,3.5,2.2,0.5,0.2,1.1,1.8,8.4
52,Bojan Bogdanović\bogdabo02,SF,31,UTA,37,37,30.6,5.2,12.0,.429,2.7,6.7,.403,2.5,5.3,.462,.542,2.7,3.1,.853,0.5,3.4,3.9,2.0,0.5,0.1,1.4,1.6,15.7
53,Bol Bol\bolbo01,PF,21,DEN,16,2,5.4,0.8,1.5,.500,0.4,0.7,.545,0.4,0.8,.462,.625,0.1,0.1,.500,0.0,0.8,0.8,0.3,0.1,0.3,0.5,0.6,1.9
54,Marques Bolden\boldema01,C,22,CLE,6,0,4.8,0.2,0.5,.333,0.0,0.0,,0.2,0.5,.333,.333,0.8,1.3,.625,0.5,0.5,1.0,0.0,0.3,0.3,0.3,0.0,1.2
55,Jordan Bone\bonejo01,PG,23,ORL,14,0,14.0,1.6,3.9,.426,0.7,2.3,.313,0.9,1.6,.591,.519,0.0,0.0,,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0
56,Isaac Bonga\bongais01,SF,21,WAS,24,7,11.9,0.8,2.0,.367,0.5,1.3,.355,0.3,0.8,.389,.480,0.1,0.2,.750,0.4,1.5,2.0,0.5,0.3,0.2,0.5,1.5,2.1
57,Devin Booker\bookede01,SG,24,PHO,33,33,34.0,9.2,18.6,.497,2.0,5.6,.362,7.2,13.0,.555,.551,4.5,5.4,.843,0.2,3.5,3.7,4.6,0.8,0.3,3.5,2.9,25.1
58,Chris Boucher\bouchch01,C,28,TOR,38,2,24.0,4.9,9.1,.536,1.7,3.8,.441,3.2,5.4,.603,.627,2.6,3.4,.775,1.9,4.7,6.6,1.0,0.6,1.9,0.7,2.7,14.1
59,Brian Bowen\bowenbr02,SF,22,IND,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
60,Avery Bradley\bradlav01,SG,30,MIA,10,1,21.1,3.1,6.6,.470,1.6,3.8,.421,1.5,2.8,.536,.591,0.7,0.9,.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5
61,Tony Bradley\bradlto01,C,23,PHI,14,2,11.3,2.3,3.6,.640,0.0,0.1,.000,2.3,3.5,.653,.640,0.2,0.4,.600,1.7,2.4,4.1,0.5,0.2,0.7,0.1,1.0,4.8
62,Jarrell Brantley\brantja01,PF,24,UTA,10,0,2.8,0.4,1.0,.400,0.3,0.7,.429,0.1,0.3,.333,.550,0.0,0.0,,0.2,0.5,0.7,0.0,0.1,0.1,0.1,0.4,1.1
63,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,0,1.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
64,Mikal Bridges\bridgmi01,SF,24,PHO,37,37,32.5,5.0,9.5,.531,1.9,4.4,.421,3.2,5.0,.629,.630,1.9,2.2,.843,1.3,3.6,4.9,2.2,0.7,0.9,0.8,1.5,13.8
65,Miles Bridges\bridgmi02,PF,22,CHO,37,2,26.4,3.7,7.5,.491,1.2,3.3,.374,2.4,4.2,.584,.574,1.1,1.2,.932,1.3,4.5,5.8,2.0,0.7,0.7,1.7,2.3,9.7
66,Malcolm Brogdon\brogdma01,PG,28,IND,36,36,35.6,8.2,18.1,.453,2.5,6.4,.391,5.7,11.8,.487,.522,2.6,2.9,.886,0.8,4.0,4.7,6.2,1.2,0.2,2.2,2.0,21.5
67,Dillon Brooks\brookdi01,SF,25,MEM,31,31,29.2,6.1,15.2,.399,1.9,5.7,.333,4.2,9.5,.439,.462,1.8,2.2,.824,0.9,2.2,3.1,2.6,1.4,0.5,2.2,3.3,15.8
68,Bruce Brown\brownbr01,PG,24,BRK,35,22,21.0,3.5,6.2,.560,0.3,1.0,.257,3.2,5.2,.619,.581,1.1,1.6,.709,1.5,3.0,4.5,1.4,0.7,0.3,0.8,2.1,8.3
69,Jaylen Brown\brownja02,SG,24,BOS,34,34,34.0,9.1,18.8,.485,2.3,6.1,.380,6.8,12.7,.536,.547,3.8,4.9,.768,1.1,4.4,5.6,4.0,1.2,0.5,2.9,2.8,24.4
70,Moses Brown\brownmo01,C,21,OKC,9,0,8.6,1.6,2.6,.609,0.0,0.0,,1.6,2.6,.609,.609,1.1,2.0,.556,1.2,2.8,4.0,0.3,0.2,0.7,0.3,1.1,4.2
71,Sterling Brown\brownst02,SG,25,HOU,34,4,23.0,2.8,6.4,.434,1.6,4.1,.397,1.1,2.3,.500,.562,0.4,0.4,.933,0.8,3.6,4.3,1.7,0.9,0.2,0.8,2.0,7.6
72,Troy Brown Jr.\browntr01,SF,21,WAS,20,0,13.6,1.5,4.2,.357,0.6,2.2,.273,0.9,2.0,.450,.429,0.5,0.8,.667,0.6,2.5,3.0,0.9,0.2,0.2,0.8,1.4,4.1
73,Jalen Brunson\brunsja01,PG,24,DAL,33,8,25.1,4.7,8.8,.531,1.3,3.3,.398,3.4,5.6,.609,.604,2.2,2.7,.822,0.2,3.3,3.5,3.4,0.5,0.0,1.2,1.5,12.9
74,Thomas Bryant\bryanth01,C,23,WAS,10,10,27.1,5.9,9.1,.648,0.9,2.1,.429,5.0,7.0,.714,.698,1.6,2.4,.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
75,Reggie Bullock\bullore01,SF,29,NYK,34,34,26.4,3.1,7.7,.405,1.8,4.9,.370,1.3,2.9,.464,.521,0.6,0.8,.846,0.3,3.0,3.3,1.3,0.6,0.2,0.7,2.2,8.7
76,Trey Burke\burketr01,PG,28,DAL,36,0,16.0,2.7,6.1,.443,1.2,3.1,.384,1.5,3.0,.505,.541,0.8,0.9,.871,0.1,0.8,0.9,1.6,0.6,0.1,0.5,1.2,7.3
77,Alec Burks\burksal01,SG,29,NYK,27,3,24.9,3.9,9.5,.409,1.8,4.7,.389,2.1,4.9,.427,.504,1.9,2.2,.850,0.5,3.8,4.3,2.2,0.7,0.2,1.1,1.9,11.5
78,Jimmy Butler\butleji01,SF,31,MIA,24,24,33.3,6.7,14.5,.461,0.4,1.6,.231,6.3,12.9,.490,.474,7.3,8.7,.846,1.9,5.5,7.4,8.0,2.0,0.4,2.3,1.3,21.1
79,Bruno Caboclo\cabocbr01,PF,25,HOU,6,0,6.0,1.3,2.8,.471,0.0,0.8,.000,1.3,2.0,.667,.471,0.2,0.3,.500,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8
80,Devontae Cacok\cacokde01,PF,24,LAL,4,0,4.3,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.5,.000,0.3,1.0,1.3,0.0,0.5,0.0,0.5,0.0,2.0
81,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,34,34,26.2,2.9,6.8,.435,1.5,3.8,.395,1.4,3.0,.485,.546,1.2,1.4,.857,0.5,2.0,2.4,1.4,0.8,0.3,1.0,1.6,8.6
82,Facundo Campazzo\campafa01,PG,29,DEN,32,1,16.7,1.7,4.2,.400,1.1,2.9,.372,0.6,1.3,.463,.530,0.9,1.2,.811,0.2,0.9,1.1,2.3,0.9,0.2,0.8,1.9,5.4
83,Vlatko Čančar\cancavl01,PF,23,DEN,21,0,6.1,0.5,1.4,.379,0.1,0.7,.200,0.4,0.7,.571,.431,0.2,0.3,.833,0.2,1.1,1.3,0.3,0.3,0.1,0.4,0.5,1.4
84,Clint Capela\capelca01,C,26,ATL,34,34,29.5,6.5,10.9,.597,0.0,0.0,,6.5,10.9,.597,.597,1.8,3.3,.531,5.1,9.2,14.3,0.9,0.7,2.3,1.4,2.3,14.8
85,Vernon Carey Jr.\careyve01,C,19,CHO,4,0,2.8,0.3,0.8,.333,0.0,0.3,.000,0.3,0.5,.500,.333,0.3,0.5,.500,0.5,0.8,1.3,0.3,0.0,0.3,0.3,0.0,0.8
86,Jevon Carter\carteje01,PG,25,PHO,30,0,9.8,1.0,2.9,.360,0.6,2.0,.305,0.4,0.9,.481,.465,0.1,0.1,1.000,0.1,1.1,1.2,1.2,0.4,0.2,0.2,1.0,2.7
87,Wendell Carter Jr.\cartewe01,C,21,CHI,25,25,26.2,4.4,8.4,.521,0.3,0.8,.333,4.1,7.6,.542,.538,2.7,3.6,.744,2.2,5.7,7.9,2.2,0.6,0.8,1.8,3.2,11.8
88,Michael Carter-Williams\cartemi01,SG,29,ORL,19,14,26.3,3.6,8.8,.405,0.5,1.8,.257,3.1,7.0,.444,.432,1.6,2.1,.750,1.5,3.2,4.7,4.2,0.6,0.5,2.3,3.0,9.2
89,Alex Caruso\carusal01,PG,26,LAL,30,0,19.5,2.1,4.9,.432,0.9,2.3,.400,1.2,2.5,.461,.527,0.6,0.8,.720,0.6,2.2,2.7,2.4,1.0,0.2,1.1,1.7,5.7
90,Willie Cauley-Stein\caulewi01,C,27,DAL,33,11,17.3,2.3,3.6,.625,0.0,0.2,.143,2.2,3.4,.655,.629,0.9,1.5,.646,1.2,3.2,4.4,0.8,0.3,0.8,0.5,2.3,5.5
91,Chris Chiozza\chiozch01,PG,25,BRK,15,0,9.1,1.1,3.1,.362,0.6,1.5,.391,0.5,1.6,.333,.457,0.7,0.9,.769,0.2,0.9,1.1,2.4,0.3,0.3,0.7,0.7,3.5
92,Marquese Chriss\chrisma01,PF,23,GSW,2,0,13.5,2.5,7.0,.357,0.5,2.5,.200,2.0,4.5,.444,.393,1.0,2.0,.500,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5
93,Gary Clark\clarkga01,SF,26,ORL,32,11,19.2,1.2,4.0,.305,0.9,3.3,.283,0.3,0.7,.409,.422,0.3,0.3,.800,1.0,2.3,3.3,0.9,0.4,0.2,0.5,1.0,3.6
94,Brandon Clarke\clarkbr01,PF,24,MEM,29,16,26.9,5.2,10.0,.521,0.6,1.8,.333,4.6,8.2,.561,.550,1.3,1.9,.673,1.6,4.2,5.8,1.6,1.2,0.7,0.6,1.6,12.3
95,Jordan Clarkson\clarkjo01,SG,28,UTA,37,0,25.9,6.6,14.6,.448,3.2,8.5,.370,3.4,6.1,.558,.556,1.6,1.6,.967,0.9,3.1,3.9,2.2,0.9,0.2,1.8,1.5,17.9
96,Nicolas Claxton\claxtni01,C,21,BRK,7,0,15.9,3.6,5.4,.658,0.0,0.3,.000,3.6,5.1,.694,.658,1.7,2.7,.632,0.7,2.7,3.4,1.0,0.9,1.4,0.6,1.9,8.9
97,Amir Coffey\coffeam01,SG,23,LAC,21,0,7.9,1.0,2.1,.467,0.5,1.1,.458,0.5,1.0,.476,.589,0.2,0.5,.455,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.5,2.8
98,John Collins\collijo01,PF,23,ATL,38,38,30.5,6.9,12.9,.530,1.3,3.6,.370,5.6,9.4,.591,.581,2.7,3.2,.846,2.1,5.4,7.6,1.4,0.4,1.0,1.4,3.3,17.8
99,Mike Conley\conlemi01,PG,33,UTA,30,30,29.5,5.6,12.5,.451,2.8,6.6,.424,2.8,5.9,.480,.563,2.1,2.6,.831,0.9,2.5,3.5,5.6,1.4,0.1,1.9,1.9,16.2
100,Pat Connaughton\connapa01,SG,28,MIL,35,0,21.2,2.4,5.4,.441,1.4,3.7,.391,0.9,1.7,.550,.574,0.4,0.5,.824,0.9,3.3,4.2,1.4,0.7,0.4,0.4,1.6,6.6
101,Quinn Cook\cookqu01,PG,27,TOT,17,0,4.6,1.0,2.0,.500,0.5,1.0,.471,0.5,1.0,.529,.618,0.2,0.3,.800,0.1,0.5,0.5,0.4,0.1,0.1,0.2,0.1,2.7
102,Tyler Cook\cookty01,PF,23,BRK,4,0,4.3,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
103,DeMarcus Cousins\couside01,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
104,Robert Covington\covinro01,PF,30,POR,35,35,32.0,2.8,7.4,.384,1.8,5.2,.348,1.0,2.2,.468,.506,0.7,0.8,.821,0.8,5.8,6.6,1.7,1.6,1.2,1.2,2.5,8.1
105,Torrey Craig\craigto01,SF,30,MIL,18,0,11.2,1.0,2.6,.391,0.4,1.2,.364,0.6,1.3,.417,.478,0.1,0.1,.500,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
106,Jae Crowder\crowdja01,PF,30,PHO,34,19,27.4,3.4,8.4,.401,2.4,6.3,.376,1.0,2.2,.473,.540,0.9,1.0,.829,0.4,4.6,5.0,2.1,0.8,0.2,0.9,1.8,10.0
107,Jarrett Culver\culveja01,SG,21,MIN,19,7,19.8,2.8,6.7,.422,0.4,1.8,.229,2.4,4.9,.495,.453,1.1,1.8,.600,1.6,3.2,4.7,0.8,0.6,0.4,1.2,2.1,7.2
108,Seth Curry\curryse01,SG,30,PHI,30,30,29.7,4.4,9.6,.458,1.9,4.5,.433,2.5,5.1,.481,.559,1.8,1.9,.931,0.2,1.9,2.1,2.9,0.9,0.3,1.5,1.7,12.5
109,Stephen Curry\curryst01,PG,32,GSW,36,36,33.9,9.7,20.4,.475,4.7,11.6,.406,5.0,8.8,.568,.591,5.1,5.5,.930,0.5,4.9,5.4,6.2,1.3,0.1,3.1,1.8,29.3
110,Nate Darling\darlina01,SG,22,CHO,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Anthony Davis\davisan02,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
112,Ed Davis\davised01,C,31,MIN,19,7,13.9,0.9,2.3,.419,0.0,0.0,,0.9,2.3,.419,.419,0.4,0.4,.875,2.0,3.1,5.1,1.0,0.5,0.5,0.3,2.6,2.3
113,Terence Davis\daviste02,SG,23,TOR,32,3,14.5,2.6,6.2,.422,1.3,3.6,.365,1.3,2.6,.500,.528,0.5,0.6,.889,0.3,1.7,1.9,1.1,0.5,0.2,0.8,1.5,7.1
114,DeMar DeRozan\derozde01,PF,31,SAS,30,30,33.9,6.9,14.0,.490,0.6,1.8,.321,6.3,12.2,.515,.511,6.0,6.8,.882,0.7,4.0,4.7,7.3,1.0,0.3,1.7,2.0,20.3
115,Mamadi Diakite\diakima01,PF,24,MIL,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0
116,Hamidou Diallo\diallha01,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
117,Gorgui Dieng\dienggo01,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
118,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
119,Donte DiVincenzo\divindo01,SG,24,MIL,38,38,26.6,3.9,9.3,.416,1.8,4.9,.378,2.0,4.4,.458,.516,0.7,1.1,.650,1.2,3.8,5.0,2.9,1.1,0.2,1.3,1.4,10.3
120,Luka Dončić\doncilu01,PG,21,DAL,34,34,35.2,9.9,20.7,.476,2.6,7.6,.349,7.2,13.1,.549,.540,5.9,7.8,.754,0.8,7.6,8.4,9.1,0.9,0.6,4.2,2.1,28.2
121,Luguentz Dort\dortlu01,SG,21,OKC,37,37,29.7,4.2,10.9,.386,1.9,5.9,.329,2.2,4.9,.454,.475,2.1,2.7,.780,0.7,2.9,3.6,1.6,0.8,0.3,1.5,2.4,12.4
122,Damyean Dotson\dotsoda01,SG,26,CLE,31,6,18.7,2.5,6.5,.393,0.9,3.4,.274,1.6,3.1,.526,.465,0.6,0.9,.714,0.1,1.7,1.9,2.2,0.4,0.1,0.8,0.9,6.7
123,Devon Dotson\dotsode01,PG,21,CHI,1,0,10.0,2.0,4.0,.500,0.0,0.0,,2.0,4.0,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
124,Sekou Doumbouya\doumbse01,PF,20,DET,34,2,13.1,1.5,4.1,.355,0.4,1.8,.250,1.0,2.4,.432,.408,0.6,0.8,.731,0.5,1.7,2.2,0.6,0.4,0.1,0.6,1.5,3.9
125,PJ Dozier\doziepj01,SG,24,DEN,23,0,19.7,2.7,6.1,.436,1.0,2.5,.379,1.7,3.6,.476,.514,1.0,1.7,.605,0.8,3.0,3.9,1.6,0.5,0.6,0.7,1.7,7.3
126,Goran Dragić\dragigo01,PG,34,MIA,24,8,27.3,5.4,11.6,.462,1.8,4.6,.378,3.6,7.0,.518,.538,2.5,3.0,.836,0.3,3.0,3.3,4.8,0.5,0.2,2.8,2.5,15.0
127,Andre Drummond\drumman01,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
128,Jared Dudley\dudleja01,PF,35,LAL,11,0,6.9,0.2,0.6,.286,0.2,0.5,.400,0.0,0.2,.000,.429,0.0,0.0,,0.4,1.4,1.7,0.5,0.1,0.1,0.2,0.6,0.5
129,Kevin Durant\duranke01,PF,32,BRK,19,18,35.7,9.9,18.9,.524,2.6,5.9,.434,7.3,12.9,.565,.592,6.6,7.6,.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0
130,Anthony Edwards\edwaran01,SG,19,MIN,38,21,29.3,5.7,15.2,.376,1.9,6.2,.308,3.8,8.9,.424,.439,2.0,2.6,.794,0.7,3.4,4.1,2.5,0.9,0.4,1.9,1.6,15.4
131,Carsen Edwards\edwarca01,SG,22,BOS,14,1,10.5,2.1,4.5,.460,0.8,2.4,.324,1.3,2.1,.621,.548,0.5,0.6,.778,0.1,0.9,1.0,0.4,0.3,0.1,0.1,1.1,5.4
132,CJ Elleby\ellebcj01,SF,20,POR,13,0,8.1,1.1,2.4,.452,0.4,1.5,.263,0.7,0.9,.750,.532,0.5,0.7,.667,0.3,0.8,1.1,0.2,0.3,0.2,0.2,1.4,3.0
133,Henry Ellenson\ellenhe01,F,24,TOR,1,0,18.0,4.0,9.0,.444,1.0,5.0,.200,3.0,4.0,.750,.500,0.0,0.0,,3.0,6.0,9.0,3.0,0.0,0.0,0.0,3.0,9.0
134,Wayne Ellington\ellinwa01,SG,33,DET,30,25,23.2,3.6,8.1,.446,2.7,6.4,.422,0.9,1.7,.540,.614,0.7,0.9,.741,0.3,1.5,1.8,1.4,0.4,0.2,0.7,1.5,10.6
135,Joel Embiid\embiijo01,C,26,PHI,31,31,32.6,9.5,18.0,.525,1.2,2.9,.422,8.2,15.1,.545,.559,9.8,11.4,.859,2.2,9.3,11.5,3.3,1.2,1.4,3.2,2.5,29.9
136,James Ennis\ennisja01,SF,30,ORL,24,23,21.4,2.5,5.0,.500,0.9,2.0,.447,1.6,3.0,.534,.588,1.4,1.8,.786,1.1,2.8,3.9,1.3,0.8,0.3,0.9,2.2,7.3
137,Drew Eubanks\eubandr01,C,23,SAS,17,0,11.9,1.4,3.4,.404,0.0,0.0,,1.4,3.4,.404,.404,0.9,1.2,.714,0.6,2.4,3.1,0.6,0.1,1.1,0.5,1.2,3.6
138,Dante Exum\exumda01,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
139,Tacko Fall\fallta01,C,25,BOS,8,0,7.1,1.1,1.6,.692,0.0,0.0,,1.1,1.6,.692,.692,0.4,1.0,.375,1.0,1.6,2.6,0.1,0.0,1.3,0.1,1.3,2.6
140,Derrick Favors\favorde01,C,29,UTA,35,0,16.2,2.4,3.7,.649,0.0,0.0,.000,2.4,3.7,.654,.649,1.3,1.6,.789,1.9,3.5,5.4,0.8,0.5,0.9,0.6,2.5,6.1
141,Cristiano Felício\feliccr01,C,28,CHI,6,0,6.3,0.5,0.7,.750,0.0,0.0,,0.5,0.7,.750,.750,0.8,1.3,.625,1.0,1.0,2.0,0.8,0.3,0.0,0.5,0.5,1.8
142,Terrance Ferguson\fergute01,SG,22,PHI,11,0,3.6,0.1,0.5,.167,0.0,0.4,.000,0.1,0.2,.500,.167,0.0,0.0,,0.0,0.1,0.1,0.2,0.1,0.0,0.4,0.5,0.2
143,Bruno Fernando\fernabr01,C,22,ATL,19,0,8.0,0.6,1.3,.440,0.0,0.1,.000,0.6,1.2,.478,.440,0.5,0.8,.600,0.7,2.5,3.2,0.5,0.1,0.1,0.8,0.9,1.6
144,Yogi Ferrell\ferreyo01,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
145,Dorian Finney-Smith\finnedo01,PF,27,DAL,28,28,31.5,3.0,7.1,.420,1.6,4.8,.343,1.4,2.4,.576,.535,0.5,0.6,.882,1.4,4.0,5.4,1.4,0.9,0.4,0.6,2.6,8.2
146,Malachi Flynn\flynnma01,PG,22,TOR,15,0,8.3,0.8,3.0,.267,0.3,1.7,.192,0.5,1.3,.368,.322,0.3,0.4,.667,0.1,0.7,0.7,1.1,0.3,0.0,0.3,0.8,2.2
147,Bryn Forbes\forbebr01,SG,27,MIL,38,6,18.7,3.5,7.3,.473,2.2,4.7,.461,1.3,2.7,.495,.620,0.5,0.7,.741,0.2,1.1,1.3,0.6,0.2,0.0,0.5,1.1,9.6
148,Trent Forrest\forretr01,PG,22,UTA,7,0,2.9,0.0,0.4,.000,0.0,0.3,.000,0.0,0.1,.000,.000,0.3,0.3,1.000,0.0,0.3,0.3,0.6,0.3,0.0,0.1,0.3,0.3
149,Evan Fournier\fournev01,SF,28,ORL,21,21,29.2,6.0,13.4,.450,2.5,6.7,.371,3.6,6.8,.528,.543,4.0,5.0,.790,0.2,2.9,3.1,3.8,1.0,0.3,2.1,2.0,18.5
150,De'Aaron Fox\foxde01,PG,23,SAC,37,37,34.4,8.5,18.2,.469,1.9,5.5,.338,6.6,12.6,.526,.520,4.6,6.7,.681,0.7,2.7,3.4,7.6,1.2,0.5,3.3,3.0,23.5
151,Tim Frazier\fraziti01,PG,30,MEM,3,0,11.0,0.7,2.7,.250,0.0,0.7,.000,0.7,2.0,.333,.250,0.0,0.0,,0.0,1.3,1.3,2.3,0.3,0.0,1.0,1.3,1.3
152,Markelle Fultz\fultzma01,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
153,Wenyen Gabriel\gabriwe01,PF,23,NOP,5,0,3.4,0.0,0.8,.000,0.0,0.2,.000,0.0,0.6,.000,.000,0.2,0.4,.500,0.2,1.0,1.2,0.2,0.0,0.0,0.2,0.0,0.2
154,Daniel Gafford\gaffoda01,PF,22,CHI,27,11,13.0,1.9,2.9,.675,0.0,0.0,,1.9,2.9,.675,.675,1.0,1.4,.667,1.3,1.8,3.1,0.6,0.4,1.2,0.7,1.9,4.8
155,Danilo Gallinari\gallida01,PF,32,ATL,26,2,22.5,3.6,8.8,.408,2.1,5.2,.400,1.5,3.6,.419,.526,2.9,3.1,.938,0.2,3.3,3.6,1.5,0.6,0.1,1.1,1.9,12.1
156,Langston Galloway\gallola01,SG,29,PHO,25,0,10.5,1.5,3.3,.463,0.8,1.8,.457,0.7,1.4,.472,.591,0.6,0.6,1.000,0.2,0.9,1.0,0.6,0.2,0.0,0.3,0.6,4.5
157,Darius Garland\garlada01,PG,21,CLE,28,25,32.9,6.4,14.5,.440,1.7,4.5,.384,4.7,10.1,.465,.499,1.6,1.9,.849,0.5,1.8,2.2,5.9,1.2,0.1,2.9,2.2,16.1
