Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
448,Obi Toppin\toppiob01,PF,22,NYK,29,0,12.8,2.0,4.0,.504,0.5,1.6,.311,1.5,2.4,.629,.565,0.4,0.5,.733,0.5,2.1,2.6,0.6,0.3,0.3,0.6,1.1,4.9
449,Juan Toscano-Anderson\toscaju01,SG,27,GSW,24,13,20.6,2.2,4.0,.558,0.6,1.5,.417,1.6,2.5,.644,.637,0.5,0.8,.722,0.7,3.7,4.4,2.3,0.5,0.5,1.1,2.1,5.6
450,Karl-Anthony Towns\townska01,C,25,MIN,18,18,32.6,8.1,16.4,.492,1.9,5.2,.362,6.2,11.2,.552,.549,4.3,4.7,.918,2.9,7.7,10.7,3.8,0.8,1.7,3.1,3.7,22.3
451,Gary Trent Jr.\trentga02,SG,22,POR,35,22,31.3,5.5,13.2,.418,3.1,7.6,.401,2.5,5.6,.441,.534,1.1,1.5,.769,0.6,1.5,2.1,1.5,0.8,0.1,0.7,1.5,15.2
452,P.J. Tucker\tuckepj01,PF,35,HOU,32,32,30.0,1.5,4.1,.366,0.8,2.7,.314,0.7,1.4,.467,.469,0.6,0.7,.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4
453,Myles Turner\turnemy01,C,24,IND,35,35,31.3,4.7,9.6,.490,1.4,4.5,.316,3.3,5.1,.644,.564,2.6,3.3,.789,1.4,5.1,6.5,1.0,1.0,3.3,1.3,3.5,13.4
454,Jonas Valančiūnas\valanjo01,C,28,MEM,29,28,27.7,6.6,12.0,.546,0.3,1.0,.333,6.2,11.0,.566,.560,2.5,3.3,.753,3.6,8.0,11.6,1.8,0.6,0.7,2.0,3.0,16.0
455,Denzel Valentine\valende01,SG,27,CHI,32,3,19.2,3.0,8.0,.376,1.6,4.5,.345,1.4,3.4,.418,.475,0.2,0.2,1.000,0.4,3.7,4.1,1.8,0.7,0.0,0.6,1.2,7.8
456,Jarred Vanderbilt\vandeja01,PF,21,MIN,36,19,18.9,2.4,4.0,.604,0.0,0.1,.500,2.4,3.9,.606,.608,1.0,1.8,.554,1.9,4.0,5.8,1.6,1.1,0.7,1.1,2.1,5.9
457,Fred VanVleet\vanvlfr01,SG,26,TOR,34,34,36.7,6.6,16.6,.400,3.4,8.8,.383,3.3,7.9,.419,.501,3.5,3.9,.894,0.7,3.8,4.4,6.6,1.7,0.8,2.0,2.4,20.1
458,Devin Vassell\vassede01,SF,20,SAS,27,1,17.4,2.0,4.9,.402,1.0,2.5,.403,1.0,2.4,.400,.504,0.7,0.8,.857,0.6,2.6,3.2,1.1,1.1,0.3,0.4,1.3,5.6
459,Gabe Vincent\vincega01,PG,24,MIA,25,5,15.0,2.1,5.7,.364,0.9,3.6,.258,1.2,2.2,.537,.444,0.8,0.8,.905,0.1,1.0,1.1,1.2,0.5,0.1,0.8,1.8,5.8
460,Noah Vonleh\vonleno01,PF,25,BRK,4,0,2.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.0
461,Nikola Vučević\vucevni01,C,30,ORL,38,38,33.8,9.9,20.3,.488,2.6,6.4,.413,7.3,14.0,.522,.552,2.2,2.5,.854,2.0,9.7,11.7,3.7,0.9,0.6,1.7,1.7,24.6
462,Dean Wade\wadede01,PF,24,CLE,29,5,11.5,1.1,2.7,.423,0.8,1.9,.400,0.4,0.8,.478,.564,0.3,0.4,.667,0.5,1.6,2.1,0.7,0.2,0.3,0.4,0.8,3.3
463,Moritz Wagner\wagnemo01,C,23,WAS,24,13,14.7,2.5,4.9,.500,0.5,1.7,.300,2.0,3.3,.603,.551,1.5,2.0,.771,0.5,2.5,3.0,1.2,0.9,0.3,0.8,2.4,7.0
464,Kemba Walker\walkeke02,PG,30,BOS,21,21,30.2,6.1,15.7,.389,2.9,8.0,.357,3.2,7.7,.422,.480,3.0,3.3,.914,0.4,3.2,3.6,4.4,1.0,0.4,2.2,1.3,18.1
465,Lonnie Walker\walkelo01,SG,22,SAS,32,27,26.9,4.2,10.4,.404,1.8,4.9,.359,2.4,5.5,.443,.488,1.0,1.3,.780,0.2,2.7,2.9,1.7,0.5,0.4,1.1,2.1,11.1
466,John Wall\walljo01,PG,30,HOU,25,25,31.7,7.5,17.7,.424,2.0,6.0,.340,5.5,11.7,.468,.482,4.0,5.3,.744,0.4,2.8,3.2,6.0,0.9,0.7,3.3,1.2,21.0
467,Brad Wanamaker\wanambr01,PG,31,GSW,37,0,16.2,1.6,4.4,.358,0.4,1.5,.232,1.2,2.9,.425,.398,1.3,1.5,.891,0.2,1.5,1.7,2.7,0.7,0.2,0.9,1.4,4.8
468,T.J. Warren\warretj01,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
469,P.J. Washington\washipj01,PF,22,CHO,33,33,29.3,4.4,9.8,.451,1.4,3.6,.390,3.0,6.2,.485,.522,2.4,3.0,.798,1.5,4.9,6.4,2.9,1.1,1.2,2.2,2.7,12.6
